WO Date,Asset ID,Equipment Description,Downtime,WO No.,Line No,WO Type,Failure Type,Week,Last Week,Last Month,BDA Triggered
1/4/2025,FW000278,30-RS-05 RT3000 Roaster JUPITER,2.75,406742,RT3000,Corrective Maintenance,Process Failure,1,FALSE,FALSE,FALSE
1/4/2025,FW000811,45-GR-33  MPE 999 Grinder #3,1.33,406743,Grinder 3,Minor Breakdown Maintenance,Breakdown,1,FALSE,FALSE,FALSE
1/5/2025,FW000256,25-WB-07 Green Bean Bulk Bin 7A & 7B Discharge Weigh Belt,0.75,406754,Green Bean,Manual Product Move,Process Failure,2,FALSE,FALSE,FALSE
1/5/2025,FW000278,30-RS-05 RT3000 Roaster JUPITER,2.75,406757,RT3000,Corrective Maintenance,Process Failure,2,FALSE,FALSE,FALSE
1/5/2025,FW000699,40-CV-22 CD01 Conveyor Rotary Valve,0.5,406755,ROTARY VLV,Rotary Valve,Process Failure,2,FALSE,FALSE,FALSE
1/5/2025,FW000744,50-CV-99 CD 22  Conveyor Rotary Valve,0.75,406756,ROTARY VLV,Rotary Valve,Process Failure,2,FALSE,FALSE,FALSE
1/6/2025,FW000277,30-RS-04 R1000R,1,406788,RT1000,Manual Product Move,Process Failure,2,FALSE,FALSE,FALSE
1/6/2025,FW000339,70-FL-23 Urn General Bagger Filler,0.42,406789,23- Urn 1,Corrective Maintenance,Process Failure,2,FALSE,FALSE,FALSE
1/6/2025,FW000339,70-FL-23 Urn General Bagger Filler,0.67,406790,23- Urn 1,Operator Adjustment,Process Failure,2,FALSE,FALSE,FALSE
1/6/2025,FW000362,70-FL-22 5LB. General #2 Bagger Filler Line 22,0.5,406781,22- 5LB,Corrective Maintenance,Process Failure,2,FALSE,FALSE,FALSE
1/6/2025,FW000362,70-FL-22 5LB. General #2 Bagger Filler Line 22,0.25,406782,22- 5LB,Operator Adjustment,Process Failure,2,FALSE,FALSE,FALSE
1/6/2025,FW000369,70-SL-22 Case Taper after 5LB  General #2,0.33,406784,22- 5LB,Operator Adjustment,Process Failure,2,FALSE,FALSE,FALSE
1/6/2025,FW000593,70-FL-21A Frac 1 Packaging Line 21 Side A,0.5,406795,21-Frac 1,Corrective Maintenance,Process Failure,2,FALSE,FALSE,FALSE
1/6/2025,FW000600,70-VA-21B Frac 1 Plitek Valve Applicator Line 21B,5,406797,21-Frac 1,Corrective Maintenance,Process Failure,2,FALSE,FALSE,FALSE
1/6/2025,FW000631,70-FL-24 Fresco Retail Packaging Line 24,0.25,406779,24-Retail1,Corrective Maintenance,Process Failure,2,FALSE,FALSE,FALSE
1/6/2025,FW000641,70-FL-21B Frac 1 Packaging Line 21- Side B,2,406796,21-Frac 1,Corrective Maintenance,Process Failure,2,FALSE,FALSE,FALSE
1/6/2025,FW001008,70-HP-35 URN 1 Surge Hopper Line 23,0.5,406786,23- Urn 1,Corrective Maintenance,Process Failure,2,FALSE,FALSE,FALSE
1/6/2025,FW200077,FLAVOR #1 SPRAY DYNAMIC FLAVOR APPLICATOR,0.42,406793,Flavor,Corrective Maintenance,Process Failure,2,FALSE,FALSE,FALSE
1/6/2025,FW200077,FLAVOR #1 SPRAY DYNAMIC FLAVOR APPLICATOR,0.5,406794,Flavor,Corrective Maintenance,Process Failure,2,FALSE,FALSE,FALSE
1/7/2025,FW00003395,30-CV-30 Chain Conveyor,0.17,406849,Chainvey,Corrective Maintenance,Process Failure,2,FALSE,FALSE,FALSE
1/7/2025,FW00003420,70-VA-41 Plitek Valve Applicator Line 41,0.33,406857,41- Frac 3 FLV,Operator Adjustment,Process Failure,2,FALSE,FALSE,FALSE
1/7/2025,FW00003420,70-VA-41 Plitek Valve Applicator Line 41,0.5,406876,41- Frac 3 FLV,Operator Adjustment,Process Failure,2,FALSE,FALSE,FALSE
